ItemID,Author,SMD_1,SESMD_1,SMD_2,SESMD_2,SMD_3,SESMD_3,SMD_4,SESMD_4,SMD_5,SESMD_5,SMD_6,SESMD_6,SMD_7,SESMD_7,SMD_8,SESMD_8,SMD_9,SESMD_9,SMD_10,SESMD_10
37093551,Fuchs (1999),0.0461,0.0461,0.0303,0.0303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093523,Fuchs (2001),0.418,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116212,Fuchs (2002),0.2956,0.2956,-0.0373,-0.0373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117132,Gandara (1994),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
37133906,Gardner (1973),0.4183,0.4183,0.7808,0.7808,0.8731,0.8731,0.3218,0.3218,0.5703,0.5703,1.3149,1.3149,NA,NA,NA,NA,NA,NA,NA,NA
37093555,Gardner (1982),0.4183,0.4183,0.7808,0.7808,0.8731,0.8731,0.3218,0.3218,0.5703,0.5703,1.3149,1.3149,NA,NA,NA,NA,NA,NA,NA,NA
40117276,Gentilcore (2002),0.0004,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061127,Gherfal (1982),0.8758,0.8758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671623,Gibbs (2001),1.62,1.62,0.47,0.47,1.58,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093477,Ginsburg-Block (1997),0.6767,0.6767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093478,Ginsburg-Block (1998),0.6138,0.6138,0.3209,0.3209,0.7152,0.7152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092650,Glover (1989),0.2862,0.2862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133911,Gmitter (1989),0.224,0.224,0.9244,0.9244,0.5044,0.5044,0.4748,0.4748,0.2855,0.2855,0.4668,0.4668,0.7778,0.7778,0.6655,0.6655,NA,NA,NA,NA
37671603,Goetz (2008),0.8,0.8,1.03,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296617,Gorard (2014),0.237,0.237,0.3616,0.3616,0.31,0.31,0.39,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296615,Gorard (2015),0.2396,0.2396,0.3808,0.3808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296616,Gorard (2015),0.2392,0.2392,0.2022,0.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117250,Gottfredson (2010),0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878252,Gottshall (2007),0.1212,0.1212,0.0681,0.0681,0.4741,0.4741,0.0329,0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093559,Goyen (1994),0.9327,0.9327,2.3005,2.3005,1.2552,1.2552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671634,Graham (2007),-1.0781,-1.0781,-1.2057,-1.2057,0.738,0.738,0.3553,0.3553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671557,Graves (2010),0.3178,0.3178,0.2677,0.2677,0.4369,0.4369,0.145,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671558,Gray (2007),1.1499,1.1499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093560,Greenwood (1989),0.3778,0.3778,0.6069,0.6069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133917,Gregg (1994),0.5051,0.5051,1.1317,1.1317,0.8979,0.8979,1.9478,1.9478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117251,Grolnick (2007),0.0438,0.0438,0.2822,0.2822,0.0493,0.0493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092582,Guastello (2001) FB,2.18,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
