id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
40134612,Hawkins (1988),['Other outcome'],Secondary outcome(s),California Achievement Test Total Battery Scores - Behaviour Intervention,['Other outcome'],Secondary outcome(s),California Achievement Test for Mathematics - Behaviour Intervention,['Other outcome'],Secondary outcome(s),California Achievement Test of Language Arts - Behaviour Intervention,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,California Achievement Test of Reading Comprehension - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134614,Henderson (1982) BI,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Iowa Test of Basic Skills Test of Reading Comprehension -  Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134623,Hoover (1985),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,The Coloured Progressive Matrices (CPM),['Other outcome'],Secondary outcome(s),Visual Aural Digit Span Test,['Other outcome'],Secondary outcome(s),The Matching of Familiar Figures Test Error Scores,['Other outcome'],Secondary outcome(s),Children's Embedded Figures Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134416,Horner (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,State Reading Standard (T-test at T2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296624,Humphrey (2018),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HGRT ,['Other outcome'],SES/FSM outcome,HGRT - FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134642,Ialongo (1999) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS: Reading _ CC,['Mathematics primary outcome'],Secondary outcome(s),CTBS: Maths _CC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090158,Ialongo (1999) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS: Reading_FSP,['Mathematics primary outcome'],Secondary outcome(s),CTBS: Maths_FSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134647,Johnson (1974),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,['Writing and spelling primary outcome.'],Secondary outcome(s),Language,['Mathematics primary outcome'],Secondary outcome(s),Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134653,Kaplewicz (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CBM-Reading Assessment (Play therapy vs Control-F test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134660,Kendall (1982) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT: Reading - Cogn-Beh - ,['Other outcome'],Secondary outcome(s),WRAT: spelling- Cognit. Behav.,['Other outcome'],Secondary outcome(s),WRAT: Maths -Cogn-Beh ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
